n,control_acc,intervention_acc,delta_acc,log_odds_effect,b_ctrl_correct_intv_wrong,c_ctrl_wrong_intv_correct,mcnemar_stat,p_value,model,domain,p_value_adj_bh,significant_fdr05
50,0.86,0.36,-0.5,-2.871679624884012,26,1,23.14814814814815,4.172325134277344e-07,gpt-5,pubg,6.258487701416016e-06,True
50,0.74,0.42,-0.32,-1.241713132308783,22,6,9.142857142857142,0.0037191659212112427,gpt-5,nba,0.018595829606056213,True
50,0.76,0.62,-0.14,-0.6592456288842639,14,7,2.3333333333333335,0.18924713134765625,gpt-5,csgo,0.35483837127685547,False
50,0.7,0.62,-0.07999999999999996,-0.322773392263051,14,10,0.6666666666666666,0.5412561893463135,gpt-5,rocket_league,0.6765702366828918,False
50,0.56,0.7,0.1399999999999999,0.5520685823000399,9,16,1.96,0.2295229434967041,gpt-5,poker,0.3825382391611735,False
50,0.54,0.7,0.15999999999999992,0.8023464725249373,6,14,3.2,0.11531829833984375,claude-sonnet-4-5,pubg,0.2882957458496094,False
50,0.66,0.6,-0.06000000000000005,-0.2744368457017603,12,9,0.42857142857142855,0.6636238098144531,claude-sonnet-4-5,nba,0.7657197805551382,False
50,0.68,0.68,0.0,0.0,10,10,0.0,1.0,claude-sonnet-4-5,csgo,1.0,False
50,0.58,0.66,0.08000000000000007,0.3513978868378886,9,13,0.7272727272727273,0.5234670639038086,claude-sonnet-4-5,rocket_league,0.6765702366828918,False
50,0.64,0.64,0.0,0.0,11,11,0.0,1.0,claude-sonnet-4-5,poker,1.0,False
50,0.56,0.78,0.21999999999999997,1.0986122886681098,5,16,5.761904761904762,0.02660369873046875,glm-5,pubg,0.07981109619140625,False
50,0.48,0.8,0.32000000000000006,1.5163474893680884,4,20,10.666666666666666,0.001543879508972168,glm-5,nba,0.01157909631729126,True
50,0.6,0.74,0.14,0.659245628884264,7,14,2.3333333333333335,0.18924713134765625,glm-5,csgo,0.35483837127685547,False
50,0.56,0.7,0.1399999999999999,0.4754236967150748,11,18,1.6896551724137931,0.26493089646101,glm-5,rocket_league,0.39739634469151497,False
50,0.5,0.78,0.28,1.148622709242771,6,20,7.538461538461538,0.009355306625366211,glm-5,poker,0.03508239984512329,True
