model,v1_accuracy_gap,v1_log_odds_approx,v51_method_log_odds,v51_method_delta_acc,retained_pct
claude-sonnet-4-5,0.131,0.524,0.0,0.0,0.0
claude-haiku-4-5,0.066,0.264,0.0,0.0,0.0
