n,control_acc,intervention_acc,delta_acc,log_odds_effect,b_ctrl_correct_intv_wrong,c_ctrl_wrong_intv_correct,mcnemar_stat,p_value,model
300,0.5,0.5,0.0,0.0,0,0,,,claude-sonnet-4-5
300,0.5,0.5,0.0,0.0,0,0,,,claude-haiku-4-5
