model,domain,token_count_ctrl,refusal_present_ctrl,refusal_count_ctrl,hedge_present_ctrl,hedge_count_ctrl,self_reference_present_ctrl,self_reference_count_ctrl,confidence_present_ctrl,confidence_count_ctrl,token_count_intv,refusal_present_intv,refusal_count_intv,hedge_present_intv,hedge_count_intv,self_reference_present_intv,self_reference_count_intv,confidence_present_intv,confidence_count_intv,token_count_delta,refusal_present_delta,refusal_count_delta,hedge_present_delta,hedge_count_delta,self_reference_present_delta,self_reference_count_delta,confidence_present_delta,confidence_count_delta
claude-sonnet-4-5,nba,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-sonnet-4-5,pubg,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glm-5,nba,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glm-5,pubg,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5,nba,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.266666666666667,0.4666666666666667,0.4666666666666667,0.5333333333333333,1.6,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.2666666666666675,0.4666666666666667,0.4666666666666667,0.5333333333333333,1.6,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.4666666666666667
gpt-5,pubg,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933333333333334,0.6333333333333333,0.6333333333333333,0.36666666666666664,1.1,0.36666666666666664,0.36666666666666664,0.6333333333333333,0.6333333333333333,-1.0666666666666664,0.6333333333333333,0.6333333333333333,0.36666666666666664,1.1,0.36666666666666664,0.36666666666666664,0.6333333333333333,0.6333333333333333
